sample_id,depth,prime_An,prime_Bn,doubly_prime,mean_ratio,min_ratio,overflow_depth
3665,58,6,4,0,206.065369,12.691667,58
3666,74,6,6,1,186.963974,20.115816,74
3667,81,8,6,1,140.131470,11.155773,81
3668,75,3,9,1,167.328506,20.115816,75
3669,88,5,4,0,145.630493,38.370441,88
3670,79,7,4,1,145.256424,12.011325,79
3671,74,7,3,0,166.789886,39.630089,74
3672,76,5,7,2,144.982025,12.691667,76
3673,87,8,8,1,139.583603,12.691667,87
3674,62,4,4,0,192.474075,35.630013,62
3675,69,5,6,1,172.628036,29.469137,69
3676,77,4,4,0,165.046906,16.403742,77
3677,70,7,3,0,211.300491,58.350792,70
3678,87,6,6,2,153.360657,20.115816,87
3679,72,4,2,0,184.084717,35.630013,72
3680,80,6,5,0,172.215515,35.630013,80
3681,90,9,7,2,145.030106,16.403742,90
3682,72,2,4,1,148.404587,29.055025,72
3683,87,11,6,1,132.249115,12.691667,87
3684,74,5,4,0,160.188339,29.469137,74
3685,70,10,9,2,151.375748,11.155773,70
3686,78,4,7,0,163.187668,45.269279,78
3687,74,9,6,2,159.242340,17.681482,74
3688,84,5,6,0,151.288391,12.691667,84
3689,77,6,6,2,157.172089,27.889433,77
3690,87,10,6,4,167.638474,20.115816,87
3691,79,8,6,2,163.931610,12.691667,79
3692,62,4,7,2,174.711960,31.164268,62
3693,74,8,6,1,155.247559,14.278125,74
3694,73,5,9,2,179.887054,12.011325,73
3695,70,8,8,0,168.717484,12.691667,70
3696,82,8,9,3,151.131409,12.691667,82
3697,71,8,7,1,156.587738,12.011325,71
3698,67,4,3,0,175.258606,35.630013,67
3699,70,7,9,1,132.364151,12.691667,70
3700,77,4,7,0,171.845703,19.037500,77
3701,85,5,4,2,154.069794,11.155773,85
3702,86,6,12,2,140.454834,12.691667,86
3703,77,7,6,0,162.985031,17.542107,77
3704,74,6,8,2,156.873947,12.011325,74
3705,77,3,5,0,197.810516,41.552361,77
3706,60,4,7,1,185.078140,12.691667,60
3707,79,8,5,0,167.299927,33.720055,79
3708,90,6,8,2,142.513718,11.155773,90
3709,71,4,6,2,175.136627,12.011325,71
