sample_id,depth,prime_An,prime_Bn,doubly_prime,mean_ratio,min_ratio,overflow_depth
8438,35,3,7,2,107.636726,12.691667,35
8439,41,4,9,1,111.311752,29.469137,41
8440,37,4,7,0,131.601471,20.115816,37
8441,43,3,4,0,122.363441,35.630013,43
8442,38,4,3,0,115.687645,44.326462,38
8443,42,5,10,3,85.410393,12.691667,42
8444,40,3,3,0,116.025154,20.115816,40
8445,39,3,4,0,126.403992,12.691667,39
8446,40,6,5,0,111.870407,38.274361,40
8447,36,5,2,1,103.006989,20.115816,36
8448,33,4,4,1,150.810028,49.503754,33
8449,40,3,3,0,126.422256,29.469137,40
8450,40,10,7,2,88.844788,12.691667,40
8451,34,1,4,0,144.227875,12.691667,34
8452,36,4,3,0,123.142906,29.469137,36
8453,34,5,6,0,127.597725,12.691667,34
8454,44,6,5,0,118.091591,27.889433,44
8455,28,4,1,0,142.118256,17.681482,28
8456,35,4,2,0,106.668663,38.592636,35
8457,43,6,5,1,111.053688,10.349608,43
8458,38,5,6,1,90.319397,20.115816,38
8459,35,7,6,2,116.246246,11.155773,35
8460,42,5,1,0,119.247948,27.889433,42
8461,36,6,2,1,123.532471,12.691667,36
8462,42,8,6,4,99.355896,12.691667,42
8463,32,5,6,1,144.340225,19.037500,32
8464,32,5,5,0,136.594757,20.115816,32
8465,32,4,3,0,104.613281,27.889433,32
8466,30,4,3,0,108.113991,25.902905,30
8467,41,7,7,2,77.061394,10.349608,41
8468,33,4,3,0,122.819740,56.159718,33
8469,30,3,3,1,110.694855,12.691667,30
8470,37,3,2,0,133.505997,53.359291,37
8471,38,6,6,3,112.145348,20.115816,38
8472,41,3,5,1,121.801514,12.011325,41
8473,33,2,4,0,136.032928,29.469137,33
8474,36,5,2,0,142.171387,43.905952,36
8475,35,2,2,0,141.536255,59.420719,35
8476,39,5,7,2,134.197968,27.889433,39
8477,33,8,1,1,93.259338,12.691667,33
8478,24,1,4,1,151.805496,33.335388,24
8479,40,9,5,2,131.964844,35.981205,40
8480,35,9,4,2,105.589027,16.403742,35
8481,44,7,6,2,94.744003,12.691667,44
8482,41,6,4,1,104.287498,10.349608,41
8483,48,8,7,2,100.402023,20.115816,48
8484,40,5,5,2,113.233604,27.046902,40
8485,35,5,8,3,109.507477,12.691667,35
8486,39,4,6,2,97.818062,16.403742,39
8487,40,3,6,0,101.019432,12.691667,40
8488,45,5,6,0,112.045891,35.630013,45
8489,33,5,5,1,143.171875,17.681482,33
8490,49,5,7,2,107.973953,12.691667,49
8491,43,2,6,1,101.622169,20.115816,43
8492,46,5,1,0,97.874954,25.290039,46
8493,48,7,6,2,93.417740,11.155773,48
8494,40,5,5,2,103.115005,12.691667,40
8495,32,1,6,1,126.177895,43.905952,32
8496,36,5,4,0,131.514435,29.469137,36
8497,38,6,4,2,94.762367,12.011325,38
8498,32,2,3,0,133.860764,42.303638,32
8499,40,6,9,2,101.274414,33.720055,40
8500,29,4,4,3,99.333511,11.155773,29
8501,40,3,6,0,114.720062,12.691667,40
8502,38,6,6,1,118.751648,27.889433,38
8503,30,4,5,1,113.047920,20.115816,30
8504,39,4,9,0,109.077888,19.037500,39
8505,43,5,5,2,103.493744,12.011325,43
8506,36,4,2,0,105.107002,12.691667,36
8507,46,9,11,3,97.800514,12.691667,46
8508,34,5,2,0,124.062439,43.964386,34
8509,39,5,3,1,133.507309,20.115816,39
8510,40,3,2,0,133.053406,29.469137,40
8511,41,4,5,0,128.761108,45.912231,41
8512,39,3,4,2,111.966858,12.691667,39
8513,34,5,5,2,124.840149,10.349608,34
8514,37,4,5,1,119.944588,12.691667,37
8515,33,3,4,0,118.292305,12.011325,33
8516,30,2,3,0,133.217346,51.273991,30
8517,36,6,9,3,105.760796,12.691667,36
8518,41,6,4,1,111.226234,29.469137,41
8519,32,3,2,1,137.827087,53.915802,32
8520,40,4,3,0,105.664787,20.115816,40
8521,39,4,4,1,108.951546,20.115816,39
8522,35,4,2,0,105.683815,19.037500,35
8523,31,4,4,1,156.512482,12.691667,31
8524,39,4,4,0,132.553787,19.037500,39
8525,34,5,2,1,116.584885,12.691667,34
8526,39,5,5,2,130.559021,19.037500,39
8527,41,5,8,1,109.854416,27.046902,41
8528,48,7,9,2,97.188545,10.349608,48
8529,45,5,6,0,112.932938,24.031046,45
8530,39,5,3,1,123.712013,15.270006,39
8531,35,6,5,2,139.805786,15.270006,35
8532,40,7,5,1,115.934242,41.552361,40
8533,32,3,1,0,148.302216,77.787842,32
8534,35,5,4,2,118.747429,29.469137,35
8535,39,3,5,0,119.666176,29.469137,39
8536,47,5,8,1,104.737953,12.011325,47
8537,45,3,5,0,104.944756,20.115816,45
8538,40,6,10,2,74.773865,12.691667,40
8539,45,5,5,1,127.132301,29.469137,45
8540,40,9,7,3,110.139236,11.155773,40
8541,45,6,4,1,118.775665,27.889433,45
8542,38,6,4,1,119.997536,36.807255,38
8543,43,5,2,1,118.158440,12.011325,43
8544,35,5,7,2,141.067825,12.691667,35
8545,37,4,5,1,105.164070,25.902905,37
8546,38,4,6,0,123.396843,25.902905,38
8547,38,3,9,1,108.224739,27.046902,38
8548,38,4,5,0,130.933121,51.876717,38
8549,34,3,5,1,109.042686,20.917076,34
8550,36,2,3,1,126.134178,12.011325,36
8551,43,2,7,0,121.183289,19.037500,43
8552,27,6,4,1,139.936249,20.115816,27
8553,33,1,6,1,121.500427,12.691667,33
8554,36,6,6,1,120.739136,20.115816,36
8555,44,5,7,1,95.360947,12.691667,44
8556,45,6,8,0,111.444946,12.691667,45
8557,43,9,8,2,104.099960,16.403742,43
8558,40,5,8,2,112.534210,12.691667,40
8559,34,8,7,2,130.117279,31.318216,34
8560,42,7,6,1,92.092926,10.349608,42
8561,40,5,7,3,121.415962,20.115816,40
8562,37,6,5,0,125.086571,19.037500,37
8563,38,3,8,2,94.051888,12.691667,38
8564,35,2,3,0,138.016891,29.469137,35
8565,42,7,6,2,106.642715,12.691667,42
8566,43,2,8,1,119.248123,20.115816,43
8567,47,6,6,0,116.644035,19.037500,47
8568,33,5,6,1,138.434631,20.115816,33
8569,43,6,5,1,111.773064,12.691667,43
8570,37,1,6,0,118.936218,29.469137,37
8571,30,3,1,0,159.668610,43.905952,30
8572,30,5,5,0,137.233688,35.630013,30
8573,40,5,5,0,118.663986,12.011325,40
8574,27,2,5,1,185.132004,12.011325,27
8575,32,3,6,1,123.431435,12.011325,32
8576,42,5,6,0,111.530266,24.175173,42
8577,44,4,5,1,126.598511,46.420864,44
8578,44,6,5,2,111.850578,29.469137,44
8579,41,8,7,1,106.507835,27.889433,41
8580,38,2,6,0,101.292206,12.691667,38
8581,34,5,7,2,130.721710,12.011325,34
8582,36,4,6,0,115.349960,33.899105,36
8583,48,8,9,2,99.659714,12.691667,48
8584,40,11,5,2,107.133080,20.115816,40
8585,36,8,7,1,117.298965,12.691667,36
8586,37,4,5,3,121.653999,29.469137,37
8587,38,5,7,2,88.491913,9.008494,38
8588,41,2,4,0,133.929596,43.905952,41
8589,32,3,2,0,141.704422,41.486881,32
8590,36,5,7,0,116.617493,12.691667,36
8591,29,4,2,0,122.920387,46.964748,29
8592,32,3,2,0,107.410103,33.720055,32
8593,34,2,4,0,130.853516,12.691667,34
8594,43,4,6,1,106.802567,11.155773,43
8595,42,4,6,1,110.787842,16.403742,42
8596,34,6,4,1,128.927765,12.011325,34
8597,40,5,5,1,117.041382,27.889433,40
8598,42,2,6,0,109.051178,40.750481,42
8599,33,4,4,0,121.168716,12.691667,33
8600,31,3,4,0,141.484467,68.799919,31
8601,34,4,5,0,128.766037,29.469137,34
8602,39,4,3,0,103.169724,12.691667,39
8603,37,0,3,0,133.954849,67.499756,37
8604,41,5,7,1,110.640839,20.115816,41
8605,32,4,4,0,123.551476,44.629848,32
8606,36,4,5,1,131.020432,19.037500,36
8607,42,3,3,0,136.260605,12.011325,42
8608,36,5,4,0,108.863907,12.011325,36
8609,38,8,2,1,130.373001,12.011325,38
8610,39,5,2,0,120.673912,35.630013,39
8611,34,2,3,1,125.440498,20.115816,34
8612,37,7,4,0,100.254402,19.037500,37
8613,40,8,9,2,118.967377,12.691667,40
8614,34,5,6,2,103.833832,12.691667,34
8615,37,5,5,2,99.451874,12.691667,37
8616,45,3,6,1,108.401878,46.281036,45
8617,42,8,4,1,101.034462,12.691667,42
8618,34,8,6,2,122.539459,12.691667,34
8619,42,4,7,2,101.765572,12.691667,42
8620,40,5,6,1,107.161377,43.592701,40
8621,40,5,0,0,101.496742,12.011325,40
8622,44,3,8,0,95.116859,27.889433,44
8623,35,5,6,1,114.451660,20.115816,35
8624,37,4,5,0,131.391830,12.691667,37
8625,33,8,9,2,131.507034,29.469137,33
8626,34,4,4,0,129.688766,45.709675,34
8627,40,3,6,1,130.821991,20.115816,40
8628,42,8,6,3,99.006699,11.155773,42
8629,41,6,4,0,77.483063,12.691667,41
8630,49,10,7,4,97.830215,12.691667,49
8631,43,6,5,1,114.397064,20.115816,43
8632,40,3,5,1,117.257149,29.469137,40
8633,34,5,4,1,110.214592,12.691667,34
8634,44,5,8,1,117.183228,19.037500,44
8635,39,5,3,1,114.624146,20.115816,39
8636,34,7,4,1,116.512962,19.037500,34
8637,46,6,9,1,97.683578,17.681482,46
8638,33,4,4,0,159.578003,12.691667,33
8639,34,7,5,1,114.752670,40.554550,34
8640,36,3,5,0,116.624023,11.155773,36
8641,32,5,0,0,124.396088,43.905952,32
8642,32,1,2,0,117.362495,29.055025,32
8643,40,7,6,1,114.087120,12.691667,40
8644,42,5,8,2,112.638557,12.691667,42
8645,42,5,6,1,106.919731,20.115816,42
8646,38,6,7,1,104.531128,27.889433,38
8647,35,4,1,0,115.228233,43.905952,35
8648,28,5,5,2,147.156052,25.902905,28
8649,45,8,8,3,90.653435,12.011325,45
8650,32,5,4,1,108.735352,35.630013,32
8651,38,7,3,1,111.658043,10.349608,38
8652,37,6,5,1,120.406502,12.691667,37
8653,34,3,7,1,142.435577,45.598808,34
