d,R(d)
2628,938
2629,2565
2630,1128
2631,1800
2632,1295
2633,2683
2634,820
2635,2030
2636,1270
2637,1983
2638,1248
2639,2261
2640,780
2641,2477
2642,1170
2643,1896
2644,1247
2645,2250
2646,810
2647,2936
2648,1355
2649,1847
2650,1269
2651,2808
2652,796
2653,2650
2654,1358
2655,1503
2656,1364
2657,3104
2658,1153
2659,2719
2660,815
2661,1583
2662,1155
2663,3066
2664,995
2665,2032
2666,1375
2667,1960
2668,1532
2669,2774
2670,568
2671,2833
2672,1430
2673,1686
2674,1385
2675,2545
2676,960
2677,2848
2678,1385
2679,1393
2680,1118
2681,2280
2682,960
2683,3153
2684,1406
2685,1720
2686,1550
2687,2693
2688,852
2689,2751
2690,965
2691,1475
2692,1438
2693,3331
2694,950
2695,1593
2696,1418
2697,2040
2698,1210
2699,3106
2700,714
2701,2763
2702,1346
2703,1457
2704,1398
2705,2360
2706,886
2707,3060
2708,1525
2709,1755
2710,1150
2711,2820
2712,846
2713,2768
2714,1134
2715,1505
2716,1130
2717,1907
2718,800
2719,2740
2720,1200
2721,2100
2722,1537
2723,2511
2724,1135
2725,2263
2726,1400
2727,1810
2728,1453
2729,3153
2730,780
2731,3075
2732,1445
2733,2027
2734,1510
2735,2155
2736,810
2737,2304
